zip,type,primary_city,state,country,latitude,longitude
52638,STANDARD,Middletown,IA,US,40.82,-91.26
52639,STANDARD,Montrose,IA,US,40.53,-91.46
52640,STANDARD,Morning Sun,IA,US,41.09,-91.25
52641,STANDARD,Mount Pleasant,IA,US,40.96,-91.54
52642,PO BOX,Rome,IA,US,40.98,-91.68
52644,STANDARD,Mount Union,IA,US,41.05,-91.39
52645,STANDARD,New London,IA,US,40.92,-91.4
52646,STANDARD,Oakville,IA,US,41.09,-91.04
52647,PO BOX,Olds,IA,US,41.14,-91.54
52648,PO BOX,Pilot Grove,IA,US,40.76,-91.53
52649,STANDARD,Salem,IA,US,40.85,-91.62
52650,STANDARD,Sperry,IA,US,40.95,-91.15
52651,STANDARD,Stockport,IA,US,40.85,-91.83
52652,PO BOX,Swedesburg,IA,US,41.1,-91.55
52653,STANDARD,Wapello,IA,US,41.17,-91.18
52654,STANDARD,Wayland,IA,US,41.14,-91.65
52655,STANDARD,West Burlington,IA,US,40.82,-91.17
52656,STANDARD,West Point,IA,US,40.71,-91.45
52657,STANDARD,Saint Paul,IA,US,40.77,-91.52
52658,STANDARD,Wever,IA,US,40.71,-91.23
52659,STANDARD,Winfield,IA,US,41.12,-91.43
52660,STANDARD,Yarmouth,IA,US,41.03,-91.31
52701,PO BOX,Andover,IA,US,41.98,-90.25
52720,STANDARD,Atalissa,IA,US,41.57,-91.16
52721,STANDARD,Bennett,IA,US,41.73,-90.97
52722,STANDARD,Bettendorf,IA,US,41.56,-90.47
52726,STANDARD,Blue Grass,IA,US,41.5,-90.76
52727,STANDARD,Bryant,IA,US,41.96,-90.33
52728,PO BOX,Buffalo,IA,US,41.46,-90.71
52729,STANDARD,Calamus,IA,US,41.82,-90.75
52730,STANDARD,Camanche,IA,US,41.79,-90.27
52731,STANDARD,Charlotte,IA,US,41.96,-90.46
52732,STANDARD,Clinton,IA,US,41.84,-90.23
52733,PO BOX,Clinton,IA,US,41.84,-90.23
52734,UNIQUE,Clinton,IA,US,41.91,-90.27
52736,UNIQUE,Clinton,IA,US,41.84,-90.23
52737,STANDARD,Columbus City,IA,US,41.26,-91.37
52738,STANDARD,Columbus Junction,IA,US,41.27,-91.36
